Year,Startup Name,Industry,SubVertical Industry,City,Investor Name,Investment Type,Amount(in USD)
2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000
2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000
2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000
2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000
2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000
2019,BYJU'S,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000
2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000
2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000
2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000
2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000
2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000
2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605
2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000
2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000
2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,4889975
2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000
2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000
2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000
2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000
2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739034
2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000
2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500
2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200
2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000
2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000
2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000
2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000
2019,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, AlphabetвЂ™s growth investment arm Capital G and Axis Bank",Series C,110000000
2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000
2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000
2019,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000
