Year,Startup Name,Industry,SubVertical Industry,City,Investor Name,Investment Type,Amount(in USD),cityNumber
2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000,
2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000,
2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000,
2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000,
2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000,
2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000,
2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000,
2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000,
2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000,
2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000,
2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000,
2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500,
2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000,
2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000,
2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000,
